HOLEID,SAMPFROM,SAMPTO,OT_Length,DIP,AZIMUTH,EastT,NorthT,ElevT,EastM,NorthM,ElevM,EastB,NorthB,ElevB,Zn_pct_BEST,SG_Calc_D,Abbrv,OT_OreZone,Ag_ppm_BEST,As_pct_BEST,Cd_ppm_BEST,Co_ppm_BEST,Cu_ppm_BEST,Fe_pct_BEST,Mg_pct_BEST,Ni_ppm_BEST,Pb_pct_BEST,TOTAL_SULPHIDE_D,group,name,Oretyp
BZC-005,2.4,3.4,1,0,0,221376.3848,167147.8335,931.6933838,221376.3852,167148.1496,931.3059778,221376.3857,167148.466,930.9187925,0.226248868,2.758076923,W_BM,DSO,0.13403369,0.002358993,3,3,1,0.293265713,0.454642275,8,0.016620178,0.986487955,DDH,DDH,DSM
BZC-005,3.4,4.4,1,0,0,221376.3857,167148.466,930.9187925,221376.3862,167148.7826,930.5318282,221376.3868,167149.0995,930.145085,0.37032538,2.834210526,W_BM,DSO,0.263015184,0.005470716,4,7,8,0.434501085,1.017342733,19,0.022093275,1.510759219,DDH,DDH,DSM
BZC-005,4.4,5.4,1,0,0,221376.3868,167149.0995,930.145085,221376.3875,167149.4167,929.7585632,221376.3883,167149.7341,929.3722629,3.52,2.91,L_BMB,DSO,2.5,0.052,44,70,84,4.13,9.67,190,0.21,14.36,DDH,DDH,DSM
BZC-005,5.4,6.4,1,0,0,221376.3883,167149.7341,929.3722629,221376.3891,167150.0518,928.9861843,221376.39,167150.3698,928.6003276,2.440180451,3.013448276,L_DS,DSO,2.5,0.069996992,34,68,50,7.526932331,8.601428571,194,0.176255639,20.01218045,DDH,DDH,DSM
BZC-005,6.4,7.4,1,0,0,221376.39,167150.3698,928.6003276,221376.391,167150.6881,928.214693,221376.3921,167151.0066,927.8292807,1.817752809,2.965555556,L_DS,DSO,2.5,0.074258427,31,62,25,8.920786517,7.87505618,183,0.180561798,22.08539326,DDH,DDH,DSM
BZC-005,7.4,8.4,1,0,0,221376.3921,167151.0066,927.8292807,221376.3932,167151.3254,927.4440909,221376.3944,167151.6444,927.0591237,2.74,2.89,L_DS,DSO,2.5,0.033,51,43,25,3.63,8.32,124,0.31,12.24,DDH,DDH,DSM
BZC-005,8.4,9.4,1,0,0,221376.3944,167151.6444,927.0591237,221376.3957,167151.9638,926.6743793,221376.397,167152.2834,926.289858,2.74,2.84,L_DS,DSO,2.5,0.028220267,26,41,25,2.060654469,9.491034483,157,0.198472906,8.742828994,DDH,DDH,DSM
BZC-005,9.4,10,0.6,0,0,221376.397,167152.2834,926.289858,221376.3979,167152.4752,926.0592523,221376.3988,167152.6672,925.828727,2.74,2.83,L_DS,DSO,2.5,0.027,20,41,25,1.66,9.79,166,0.17,7.85,DDH,DDH,DSM
BZC-005,10,11.5,1.5,0,0,221376.3988,167152.6672,925.828727,221376.4011,167153.1476,925.2527659,221376.4036,167153.6286,924.6773081,0.16,2.76,W_LLL,HOSTF,2.5,0.0025,5,5,25,0.43,3.15,36,0.02,1.19,DDH,DDH,HOST
BZC-006,0.0625,1.0625,1,0,0,221346.7813,167174.1097,930.3519248,221347.0801,167174.4991,930.4472698,221347.379,167174.8885,930.5425197,9.895259688,2.999863946,S_MS,MSB,2.5,0.146210497,207,169,25,2.110912395,8.743792419,431,1.193190213,20.66463382,DDH,DDH,MS
BZC-006,1.0625,2.0625,1,0,0,221347.379,167174.8885,930.5425197,221347.6778,167175.2779,930.6376743,221347.9766,167175.6674,930.7327337,14.79,3.05,S_MS,MSB,2.5,0.187,226,211,25,2.96,7.62,512,1.06,29.63,DDH,DDH,MS
BZC-006,2.0625,3.0625,1,0,0,221347.9766,167175.6674,930.7327337,221348.2754,167176.0568,930.827698,221348.5743,167176.4463,930.922567,9.89455886,2.992168675,S_MS,MSB,2.5,0.11775211,175,148,25,3.719803242,6.67745927,365,0.809938174,23.67660498,DDH,DDH,MS
BZC-006,3.0625,4.0625,1,0,0,221348.5743,167176.4463,930.922567,221348.8732,167176.8358,931.0173409,221349.172,167177.2253,931.1120195,6.189986269,3.136348315,S_VS,MSB,2.5,0.076482961,119,91,25,5.888849083,6.110827612,246,0.5677094,22.5325078,DDH,DDH,MS
BZC-006,4.0625,5.0625,1,0,0,221349.172,167177.2253,931.1120195,221349.4709,167177.6148,931.2066029,221349.7698,167178.0043,931.3010911,6.133085059,2.933762887,L_BMB,MSB,2.5,0.075045357,131,65,25,8.092774682,7.656111947,156,0.647085791,27.27635765,DDH,DDH,MS
BZC-006,5.0625,6.0625,1,0,0,221349.7698,167178.0043,931.3010911,221350.0687,167178.3939,931.3954841,221350.3676,167178.7834,931.4897819,1.882350993,2.840322581,W_BM,MSB,2.5,0.02031457,36,24,25,1.976986755,10.56036424,63,0.175662252,7.250993377,DDH,DDH,MS
BZC-006,6.0625,7.0625,1,0,0,221350.3676,167178.7834,931.4897819,221350.6666,167179.173,931.5839845,221350.9655,167179.5626,931.6780918,2.96,2.85,W_BM,MSB,2.5,0.025,58,32,25,2.23,9.97,75,0.26,9.5,DDH,DDH,MS
BZC-006,7.0625,8.0625,1,0,0,221350.9655,167179.5626,931.6780918,221351.2645,167179.9522,931.7721039,221351.5634,167180.3418,931.8660207,7.365071536,2.990659341,L_VS,MSB,2.5,0.071917922,155,89,25,4.819174197,8.466888805,214,0.703113705,22.14177334,DDH,DDH,MS
BZC-006,8.0625,9.0625,1,0,0,221351.5634,167180.3418,931.8660207,221351.8624,167180.7314,931.9598423,221352.1614,167181.1211,932.0535687,4.257185941,2.85,W_BM,MSB,2.5,0.037471903,89,47,25,2.691171621,10.25940551,118,0.411718377,12.6012736,DDH,DDH,MS
BZC-001,6.05,7.05,1,0,0,221387.9118,167134.8375,938.2305676,221388.0285,167134.4123,938.4663814,221388.1454,167133.9873,938.7022807,0.03,2.76,W_BM,DSH,2.5,0.0025,5,5,25,0.24,12.18,5,0.02,0.58,DDH,DDH,DSM
BZC-001,7.05,7.95,0.9,0,0,221388.1454,167133.9873,938.7022807,221388.2508,167133.6048,938.9146632,221388.3564,167133.2224,939.1271149,35.86,3.91,L_MS,MSA,26,0.214,989,300,25,11,1.45,692,5.31,83.21,DDH,DDH,MS
BZC-001,7.95,8.6,0.65,0,0,221388.3564,167133.2224,939.1271149,221388.4327,167132.9463,939.2805953,221388.5091,167132.6702,939.4341118,10.83,3.1,S_DS,DSH,9,0.115,346,145,25,5.47,0.08,384,2.32,30.57,DDH,DDH,DSM
BZC-001,8.6,9.6,1,0,0,221388.5091,167132.6702,939.4341118,221388.6268,167132.2455,939.6703599,221388.7445,167131.8209,939.9066352,35.84653846,4.177894737,L_MS,MSA,19.18162393,0.232517094,1177,285,25,17.04111111,0.152094017,650,4.640299145,95.39952991,DDH,DDH,MS
BZC-001,9.6,10.45,0.85,0,0,221388.7445,167131.8209,939.9066352,221388.8446,167131.46,940.1074693,221388.9447,167131.099,940.3083034,31.87,4.14,L_MS,MSA,2.5,0.329,455,265,25,17.51,0.63,629,5.01,90.9,DDH,DDH,MS
BZC-001,10.45,11.45,1,0,0,221388.9447,167131.099,940.3083034,221389.0625,167130.6744,940.5445788,221389.1803,167130.2498,940.7808542,0.1,2.76,L_BMB,DSH,2.5,0.0025,5,5,25,0.54,12.48,19,0.005,1.31,DDH,DDH,DSM
BZC-001,11.45,12,0.55,0,0,221389.1803,167130.2498,940.7808542,221389.245,167130.0162,940.9108056,221389.3098,167129.7827,941.0407571,0.1,2.76,L_BMB,DSH,2.5,0.0025,5,5,25,0.54,12.48,19,0.005,1.31,DDH,DDH,DSM
BZC-003,1,2.1,1.1,0,0,221399.8876,167140.3086,934.1331703,221400.4351,167140.2602,934.1140734,221400.9826,167140.2117,934.0950187,0.036375618,2.759166667,W_BM,DSF,2.273476112,0.002273476,4,4,22,0.190971993,10.78537068,4,0.004546952,0.472883031,DDH,DDH,DSM
BZC-003,2.1,3.1,1,0,0,221400.9826,167140.2117,934.0950187,221401.4804,167140.1674,934.077733,221401.9781,167140.123,934.0604821,23.87625191,4.015263158,L_MS,MSA,2.5,0.321935878,108,273,25,20.25434351,0.911564885,688,1.468496183,80.79225191,DDH,DDH,MS
BZC-003,3.1,4.05,0.95,0,0,221401.9781,167140.123,934.0604821,221402.4509,167140.0806,934.044126,221402.9237,167140.0381,934.0278015,19.82,4.11,L_MS,MSA,2.5,0.544,105,401,25,25.6,0.24,998,1.37,86.12,DDH,DDH,MS
BZC-003,4.05,5.05,1,0,0,221402.9237,167140.0381,934.0278015,221403.4214,167139.9932,934.0106517,221403.9191,167139.9482,933.9935369,8.12,3.11,S_VS,DSF,2.5,0.194,112,157,25,8.54,0.04,405,0.64,31.19,DDH,DDH,DSM
BZC-003,5.05,6.05,1,0,0,221403.9191,167139.9482,933.9935369,221404.4167,167139.9029,933.9764569,221404.9144,167139.8576,933.9594118,3.590710513,2.91,S_DS,DSF,2.5,0.102785142,49,87,25,5.054963367,0.071453399,242,0.281431249,16.53900665,DDH,DDH,DSM
BZC-003,6.05,7.05,1,0,0,221404.9144,167139.8576,933.9594118,221405.412,167139.8121,933.9424017,221405.9096,167139.7664,933.9254264,7.22455574,3.046896552,S_VS,DSF,2.5,0.158194676,114,151,25,5.02872213,0.078505824,383,1.156199667,22.90564725,DDH,DDH,DSM
BZC-003,7.05,8.05,1,0,0,221405.9096,167139.7664,933.9254264,221406.4072,167139.7205,933.9084859,221406.9048,167139.6745,933.8915804,7.133633644,2.974482759,S_VS,DSF,2.5,0.1393125,119,143,25,5.209670878,0.404059176,362,1.005545213,22.98604721,DDH,DDH,DSM
BZC-003,8.05,8.9,0.85,0,0,221406.9048,167139.6745,933.8915804,221407.3278,167139.6353,933.8772382,221407.7507,167139.596,933.8629211,4.460537593,3.1244,L_BMB,DSF,2.5,0.136091066,61,108,25,9.262255596,3.808882724,296,0.232299598,26.81788598,DDH,DDH,DSM
BZC-003,8.9,9.9,1,0,0,221407.7507,167139.596,933.8629211,221408.2483,167139.5496,933.8461098,221408.7458,167139.503,933.8293333,20.71,4.04,S_MS,MSA,2.5,0.371,172,365,25,24.14,0.15,902,1.15,84.06,DDH,DDH,MS
BZC-006,9.0625,10.0625,1,0,0,221352.1614,167181.1211,932.0535687,221352.4604,167181.5107,932.1471998,221352.7594,167181.9004,932.2407357,1.06,2.78,W_BM,MSB,2.5,0.00271875,20,5,25,0.59,11.94875,21,0.1075,2.970625,DDH,DDH,MS
BZC-006,10.0625,11.0625,1,0,0,221352.7594,167181.9004,932.2407357,221353.0584,167182.2901,932.3341763,221353.3574,167182.6798,932.4275217,0.76,2.78,W_BM,MSB,2.5,0.006,15,11,25,0.89,11.78,30,0.07,3.13,DDH,DDH,MS
BZC-006,11.0625,12.0625,1,0,0,221353.3574,167182.6798,932.4275217,221353.6565,167183.0695,932.5207718,221353.9555,167183.4592,932.6139267,4.963294708,2.936097561,W_BM,MSB,2.5,0.037887063,102,53,25,2.653451228,10.06003113,124,0.480666724,13.65756226,DDH,DDH,MS
BZC-006,12.0625,13.0625,1,0,0,221353.9555,167183.4592,932.6139267,221354.2546,167183.849,932.7069863,221354.5537,167184.2387,932.7999506,6.183985344,2.922803738,L_BMB,MSB,2.5,0.058295556,123,77,25,3.411014869,9.479503643,187,0.554548166,17.18677815,DDH,DDH,MS
BZC-006,13.0625,14.0625,1,0,0,221354.5537,167184.2387,932.7999506,221354.8527,167184.6285,932.8928196,221355.1518,167185.0183,932.9855934,7.523897777,3.036086957,L_VS,MSB,2.5,0.084041762,141,105,25,5.354795346,8.74717432,262,0.609262414,23.42308539,DDH,DDH,MS
BZC-006,14.0625,15.15,1.0875,0,0,221355.1518,167185.0183,932.9855934,221355.4771,167185.4422,933.0863767,221355.8024,167185.8661,933.1870473,9.76,3.1,L_VS,MSB,2.5,0.108,182,135,25,7.2,7.73,332,0.79,30.93,DDH,DDH,MS
BZC-006,15.15,16.15,1,0,0,221355.8024,167185.8661,933.1870473,221356.1015,167186.256,933.2795185,221356.4007,167186.6458,933.3718945,1.931197121,2.927179487,L_BMB,DSM,2.5,0.034479375,39,32,25,2.742654028,10.80746182,86,0.196417413,9.000447604,DDH,DDH,DSM
BZC-006,16.15,17.15,1,0,0,221356.4007,167186.6458,933.3718945,221356.6998,167187.0357,933.4641751,221356.999,167187.4256,933.5563604,7.51,3.01,L_VS,DSM,2.5,0.061,157,78,25,5.3,8.79,172,0.67,23.35,DDH,DDH,DSM
BZC-006,17.15,18.15,1,0,0,221356.999,167187.4256,933.5563604,221357.2982,167187.8155,933.6484505,221357.5973,167188.2054,933.7404495,5.077363014,2.89,L_VS,DSM,2.5,0.039678082,105,51,25,3.608784247,9.836712329,115,0.456780822,15.84856164,DDH,DDH,DSM
BZC-006,18.15,19.15,1,0,0,221357.5973,167188.2054,933.7404495,221357.8965,167188.5953,933.8324252,221358.1957,167188.9852,933.9244009,2.49,2.83,L_VS,DSM,2.5,0.017,50,23,25,1.81,10.95,55,0.23,7.87,DDH,DDH,DSM
BZC-007,11.55,12.8,1.25,0,0,221333.9405,167160.1286,932.7638896,221333.5258,167159.6792,932.8927794,221333.1111,167159.2296,933.0216137,1.16,2.91,S_VS,DSF,2.5,0.019,32,42,25,5.4,3.87,120,0.02,13.35,DDH,DDH,DSM
BZC-007,12.8,13.8,1,0,0,221333.1111,167159.2296,933.0216137,221332.7795,167158.8699,933.1246411,221332.4479,167158.5101,933.2276329,27.23,3.23,S_MS,MSB,2.5,0.154,523,235,25,2.6,4.67,546,0.87,47.18,DDH,DDH,MS
BZC-007,13.8,14.8,1,0,0,221332.4479,167158.5101,933.2276329,221332.1164,167158.1502,933.3305891,221331.785,167157.7903,933.4335097,14.18276971,3.066129032,S_VS,MSB,2.5,0.192735566,320,198,25,3.226598482,6.73765094,477,0.200821511,28.3010871,DDH,DDH,MS
BZC-007,14.8,15.8,1,0,0,221331.785,167157.7903,933.4335097,221331.4537,167157.4302,933.5363948,221331.1224,167157.0701,933.6392442,23.91371312,3.142195122,S_MS,MSB,2.5,0.20358553,539,296,25,3.362912743,5.107752668,685,0.223171689,43.12645794,DDH,DDH,MS
BZC-007,15.8,17.2,1.4,0,0,221331.1224,167157.0701,933.6392442,221330.6587,167156.5658,933.7831737,221330.1952,167156.0614,933.9270334,16.02677673,3.216666667,S_VS,MSB,2.5,0.212586478,329,309,43,7.145078616,3.670801887,737,0.164827044,39.42880503,DDH,DDH,MS
BZC-007,17.2,18.65,1.45,0,0,221330.1952,167156.0614,933.9270334,221329.7153,167155.5388,934.0759574,221329.2355,167155.016,934.2248067,0.71,2.77,W_BM,DSM,2.5,0.005,18,5,25,0.43,12.03,25,0.11,2.11,DDH,DDH,DSM
BZC-007,18.65,19.65,1,0,0,221329.2355,167155.016,934.2248067,221328.9048,167154.6554,934.3274177,221328.5741,167154.2947,934.4299932,23.92076702,3.691891892,L_MS,MSA,2.5,0.163052571,599,294,30,11.38875323,2.887658719,654,0.279813272,60.44226372,DDH,DDH,MS
BZC-007,19.65,20.65,1,0,0,221328.5741,167154.2947,934.4299932,221328.2434,167153.9339,934.532533,221327.9129,167153.573,934.6350373,21.32222832,3.897575758,L_MS,MSA,2.5,0.266691866,585,399,46,22.11309667,0.043459328,943,0.371832461,79.71308134,DDH,DDH,MS
BZC-007,20.65,21.65,1,0,0,221327.9129,167153.573,934.6350373,221327.5824,167153.2121,934.737506,221327.252,167152.851,934.8399391,25.76988507,3.921851852,L_MS,MSA,2.5,0.262767463,691,360,25,19.61456008,0.318167539,834,0.823138807,81.49868471,DDH,DDH,MS
BZC-007,21.65,22.65,1,0,0,221327.252,167152.851,934.8399391,221326.9216,167152.4899,934.9423366,221326.5914,167152.1288,935.0446985,10.20728005,3.094545455,L_VS,MSA,2.5,0.122061876,262,163,25,7.42747019,7.514050918,362,0.457296165,31.70099259,DDH,DDH,MS
BZC-007,22.65,23.65,1,0,0,221326.5914,167152.1288,935.0446985,221326.2612,167151.7675,935.1470249,221325.9311,167151.4062,935.2493156,13.23928806,3.331212121,L_VS,MSA,2.5,0.149691128,341,202,25,8.561664841,6.636232202,446,0.645903614,38.8754874,DDH,DDH,MS
BZC-007,23.65,24.2,0.55,0,0,221325.9311,167151.4062,935.2493156,221325.7495,167151.2074,935.3055603,221325.568,167151.0086,935.3617971,21.56,3.54,L_MS,MSA,2.5,0.225,557,310,25,13.27,3.63,688,1.05,61.86,DDH,DDH,MS
BZC-007,24.2,24.7,0.5,0,0,221325.568,167151.0086,935.3617971,221325.403,167150.8279,935.4129212,221325.238,167150.6472,935.4640452,2.6,2.84,L_BMB,DSH,2.5,0.014,62,23,25,2.1,10.62,59,0.28,8.71,DDH,DDH,DSM
BZC-008,3.4,4.4,1,0,0,221653.5458,167080.6744,974.6151099,221653.6521,167080.4167,975.0301254,221653.7607,167080.1578,975.4438712,11.63337068,3.568823529,S_MS,MSA,5.575601229,0.191999239,158,155,25,15.74444113,1.565576529,461,0.939839841,52.25144683,DDH,DDH,MS
BZC-008,4.4,5.4,1,0,0,221653.7607,167080.1578,975.4438712,221653.8715,167079.8978,975.8563389,221653.9839,167079.6371,976.2679328,8.684578703,4.131818182,L_MS,MSA,2.5,0.390082035,90,261,25,29.1799766,2.119366677,635,0.509340868,76.21814885,DDH,DDH,MS
BZC-008,5.4,6.4,1,0,0,221653.9839,167079.6371,976.2679328,221654.0965,167079.3765,976.679501,221654.2091,167079.1158,977.0910692,10.77078037,4.38625,L_MS,MSA,2.5,0.567611086,86,379,25,35.07701913,0.081403328,948,0.646575851,92.15218066,DDH,DDH,MS
BZC-008,6.4,7.4,1,0,0,221654.2091,167079.1158,977.0910692,221654.3217,167078.8552,977.5026374,221654.4342,167078.5945,977.9142055,9.587337658,4.423333333,L_MS,MSA,2.5,0.483981423,73,368,25,36.22336954,0.052077487,1055,0.507330566,92.69192525,DDH,DDH,MS
BZC-008,7.4,8.4,1,0,0,221654.4342,167078.5945,977.9142055,221654.5468,167078.3339,978.3257737,221654.6594,167078.0732,978.7373419,8.085103262,4.426666667,L_MS,MSA,2.5,0.388183008,58,287,25,37.30359699,0.149866314,1033,0.36436055,92.61094808,DDH,DDH,MS
BZC-008,8.4,9.4,1,0,0,221654.6594,167078.0732,978.7373419,221654.772,167077.8126,979.1489101,221654.8846,167077.5519,979.5604783,9.774204461,4.37625,L_MS,MSA,2.5,0.426144188,63,247,25,35.80721551,0.333780872,971,0.4722692,92.03945355,DDH,DDH,MS
BZC-008,9.4,10.4,1,0,0,221654.8846,167077.5519,979.5604783,221654.9971,167077.2913,979.9720465,221655.1097,167077.0306,980.3836146,11.25348326,4.392857143,L_MS,MSA,2.5,0.377971769,80,203,25,34.67689493,0.52677724,833,0.856932761,92.26246238,DDH,DDH,MS
