x,y,z,LITHO,Grade_pct,LITHODESC
26.5,16.5,0.5,2,4.209,Shale
54.5,16.5,0.5,1,0.871,Sandstone
72.5,16.5,0.5,1,0.384,Sandstone
75.5,16.5,0.5,1,0.795,Sandstone
80.5,16.5,0.5,1,0.504,Sandstone
6.5,17.5,0.5,2,0.283,Shale
43.5,17.5,0.5,1,0.206,Sandstone
61.5,17.5,0.5,1,0.838,Sandstone
64.5,17.5,0.5,1,0.925,Sandstone
90.5,17.5,0.5,1,0.887,Sandstone
8.5,18.5,0.5,2,0.045,Shale
18.5,18.5,0.5,2,1.321,Shale
22.5,18.5,0.5,2,2.422,Shale
82.5,18.5,0.5,1,0.698,Sandstone
89.5,18.5,0.5,1,0.968,Sandstone
14.5,19.5,0.5,2,0.739,Shale
23.5,19.5,0.5,2,3.555,Shale
33.5,19.5,0.5,1,0.181,Sandstone
41.5,19.5,0.5,1,0.137,Sandstone
46.5,19.5,0.5,1,0.292,Sandstone
47.5,19.5,0.5,1,0.433,Sandstone
61.5,19.5,0.5,1,0.811,Sandstone
73.5,19.5,0.5,1,0.408,Sandstone
84.5,19.5,0.5,1,0.807,Sandstone
19.5,20.5,0.5,2,4.39,Shale
48.5,20.5,0.5,1,0.301,Sandstone
52.5,20.5,0.5,1,0.81,Sandstone
10.5,21.5,0.5,2,0.549,Shale
20.5,21.5,0.5,2,1.341,Shale
39.5,21.5,0.5,1,0.748,Sandstone
40.5,21.5,0.5,1,0.525,Sandstone
45.5,21.5,0.5,1,0.591,Sandstone
47.5,21.5,0.5,1,0.452,Sandstone
52.5,21.5,0.5,1,0.949,Sandstone
60.5,21.5,0.5,1,0.988,Sandstone
73.5,21.5,0.5,1,0.604,Sandstone
78.5,21.5,0.5,1,0.341,Sandstone
2.5,22.5,0.5,2,2.584,Shale
4.5,22.5,0.5,2,0.885,Shale
22.5,22.5,0.5,2,3.921,Shale
31.5,22.5,0.5,1,0.284,Sandstone
35.5,22.5,0.5,1,0.28,Sandstone
36.5,22.5,0.5,1,0.27,Sandstone
40.5,22.5,0.5,1,0.246,Sandstone
91.5,22.5,0.5,1,0.96,Sandstone
95.5,22.5,0.5,1,0.772,Sandstone
97.5,22.5,0.5,1,0.736,Sandstone
4.5,23.5,0.5,2,1.594,Shale
36.5,23.5,0.5,1,0.595,Sandstone
77.5,23.5,0.5,1,0.86,Sandstone
84.5,23.5,0.5,1,0.726,Sandstone
96.5,23.5,0.5,1,0.832,Sandstone
97.5,23.5,0.5,1,0.731,Sandstone
8.5,24.5,0.5,2,0.371,Shale
10.5,24.5,0.5,2,1.224,Shale
15.5,24.5,0.5,2,2.373,Shale
26.5,24.5,0.5,2,0.505,Shale
53.5,24.5,0.5,1,0.674,Sandstone
73.5,24.5,0.5,1,0.623,Sandstone
74.5,24.5,0.5,1,0.722,Sandstone
88.5,24.5,0.5,1,0.974,Sandstone
98.5,24.5,0.5,1,0.532,Sandstone
0.5,25.5,0.5,2,1.946,Shale
1.5,25.5,0.5,2,5.65,Shale
10.5,25.5,0.5,2,1.08,Shale
25.5,25.5,0.5,2,0.556,Shale
30.5,25.5,0.5,2,0.732,Shale
34.5,25.5,0.5,2,3.688,Shale
40.5,25.5,0.5,1,0.641,Sandstone
50.5,25.5,0.5,1,0.313,Sandstone
55.5,25.5,0.5,1,0.903,Sandstone
67.5,25.5,0.5,1,0.907,Sandstone
70.5,25.5,0.5,1,0.672,Sandstone
85.5,25.5,0.5,1,0.995,Sandstone
87.5,25.5,0.5,1,0.97,Sandstone
88.5,25.5,0.5,1,0.992,Sandstone
89.5,25.5,0.5,1,0.982,Sandstone
17.5,26.5,0.5,2,3.062,Shale
21.5,26.5,0.5,2,0.767,Shale
23.5,26.5,0.5,2,1.486,Shale
26.5,26.5,0.5,2,0.595,Shale
32.5,26.5,0.5,2,1.481,Shale
44.5,26.5,0.5,1,0.506,Sandstone
52.5,26.5,0.5,1,0.231,Sandstone
68.5,26.5,0.5,1,0.444,Sandstone
71.5,26.5,0.5,1,0.737,Sandstone
76.5,26.5,0.5,1,0.215,Sandstone
80.5,26.5,0.5,1,0.084,Sandstone
95.5,26.5,0.5,1,0.283,Sandstone
98.5,26.5,0.5,1,0.788,Sandstone
10.5,27.5,0.5,2,1.515,Shale
14.5,27.5,0.5,2,0.941,Shale
23.5,27.5,0.5,2,0.592,Shale
27.5,27.5,0.5,2,2.959,Shale
28.5,27.5,0.5,2,2.486,Shale
29.5,27.5,0.5,2,0.68,Shale
32.5,27.5,0.5,2,1.783,Shale
43.5,27.5,0.5,1,0.869,Sandstone
60.5,27.5,0.5,1,0.833,Sandstone
61.5,27.5,0.5,1,0.908,Sandstone
96.5,27.5,0.5,1,0.529,Sandstone
19.5,28.5,0.5,2,3.27,Shale
34.5,28.5,0.5,2,1.781,Shale
39.5,28.5,0.5,1,0.151,Sandstone
56.5,28.5,0.5,1,0.922,Sandstone
66.5,28.5,0.5,1,0.065,Sandstone
81.5,28.5,0.5,1,0.39,Sandstone
85.5,28.5,0.5,1,0.372,Sandstone
91.5,28.5,0.5,1,0.951,Sandstone
92.5,28.5,0.5,1,0.892,Sandstone
3.5,29.5,0.5,3,7.333,Breccia
36.5,29.5,0.5,2,1.84,Shale
8.5,30.5,0.5,3,13.948,Breccia
9.5,30.5,0.5,2,4.707,Shale
41.5,30.5,0.5,1,0.307,Sandstone
43.5,30.5,0.5,1,0.99,Sandstone
62.5,30.5,0.5,1,0.982,Sandstone
71.5,30.5,0.5,1,0.166,Sandstone
73.5,30.5,0.5,1,0.746,Sandstone
89.5,30.5,0.5,1,0.28,Sandstone
13.5,31.5,0.5,2,4.319,Shale
23.5,31.5,0.5,2,0.48,Shale
25.5,31.5,0.5,2,2.212,Shale
26.5,31.5,0.5,2,2.212,Shale
32.5,31.5,0.5,2,0.832,Shale
35.5,31.5,0.5,2,0.523,Shale
38.5,31.5,0.5,2,0.916,Shale
45.5,31.5,0.5,1,0.646,Sandstone
46.5,31.5,0.5,1,0.652,Sandstone
55.5,31.5,0.5,1,0.896,Sandstone
68.5,31.5,0.5,1,0.501,Sandstone
70.5,31.5,0.5,1,0.178,Sandstone
22.5,32.5,0.5,2,0.184,Shale
33.5,32.5,0.5,2,0.252,Shale
36.5,32.5,0.5,2,0.519,Shale
42.5,32.5,0.5,1,0.802,Sandstone
44.5,32.5,0.5,1,0.891,Sandstone
59.5,32.5,0.5,1,0.914,Sandstone
66.5,32.5,0.5,1,0.452,Sandstone
68.5,32.5,0.5,1,0.51,Sandstone
83.5,32.5,0.5,1,0.685,Sandstone
88.5,32.5,0.5,1,0.328,Sandstone
26.5,33.5,0.5,2,2.601,Shale
65.5,33.5,0.5,1,0.496,Sandstone
72.5,33.5,0.5,1,0.83,Sandstone
82.5,33.5,0.5,1,0.981,Sandstone
5.5,34.5,0.5,2,2.011,Shale
8.5,34.5,0.5,3,16.026,Breccia
17.5,34.5,0.5,2,2.743,Shale
29.5,34.5,0.5,2,0.224,Shale
34.5,34.5,0.5,2,0.392,Shale
37.5,34.5,0.5,2,0.586,Shale
60.5,34.5,0.5,1,0.966,Sandstone
92.5,34.5,0.5,1,0.523,Sandstone
10.5,35.5,0.5,3,3.174,Breccia
33.5,35.5,0.5,2,1.303,Shale
50.5,35.5,0.5,1,0.601,Sandstone
67.5,35.5,0.5,1,0.806,Sandstone
73.5,35.5,0.5,1,0.647,Sandstone
74.5,35.5,0.5,1,0.813,Sandstone
79.5,35.5,0.5,1,0.424,Sandstone
84.5,35.5,0.5,1,0.926,Sandstone
92.5,35.5,0.5,1,0.674,Sandstone
39.5,36.5,0.5,1,0.138,Sandstone
41.5,36.5,0.5,1,0.708,Sandstone
98.5,36.5,0.5,1,0.904,Sandstone
7.5,37.5,0.5,3,5.444,Breccia
14.5,37.5,0.5,2,3.453,Shale
29.5,37.5,0.5,2,0.574,Shale
50.5,37.5,0.5,1,0.392,Sandstone
81.5,37.5,0.5,1,0.744,Sandstone
83.5,37.5,0.5,1,0.895,Sandstone
4.5,38.5,0.5,2,4.053,Shale
7.5,38.5,0.5,3,5.817,Breccia
37.5,38.5,0.5,1,0.378,Sandstone
78.5,38.5,0.5,1,0.078,Sandstone
82.5,38.5,0.5,1,0.906,Sandstone
96.5,38.5,0.5,1,0.853,Sandstone
45.5,39.5,0.5,1,0.815,Sandstone
7.5,40.5,0.5,2,1.433,Shale
28.5,40.5,0.5,2,0.179,Shale
57.5,40.5,0.5,1,0.591,Sandstone
10.5,41.5,0.5,3,14.136,Breccia
17.5,41.5,0.5,2,3.254,Shale
33.5,41.5,0.5,2,1.047,Shale
46.5,41.5,0.5,1,0.886,Sandstone
50.5,41.5,0.5,1,0.941,Sandstone
52.5,41.5,0.5,1,0.513,Sandstone
56.5,41.5,0.5,1,0.655,Sandstone
58.5,41.5,0.5,1,0.869,Sandstone
75.5,41.5,0.5,1,0.873,Sandstone
79.5,41.5,0.5,1,0.416,Sandstone
89.5,41.5,0.5,1,0.901,Sandstone
98.5,41.5,0.5,1,0.917,Sandstone
9.5,42.5,0.5,3,31.913,Breccia
11.5,42.5,0.5,3,7.831,Breccia
66.5,42.5,0.5,1,0.738,Sandstone
67.5,42.5,0.5,1,0.903,Sandstone
79.5,42.5,0.5,1,0.685,Sandstone
88.5,42.5,0.5,1,0.61,Sandstone
98.5,42.5,0.5,1,0.916,Sandstone
31.5,43.5,0.5,2,1.264,Shale
67.5,43.5,0.5,1,0.718,Sandstone
72.5,43.5,0.5,1,0.339,Sandstone
88.5,43.5,0.5,1,0.658,Sandstone
99.5,43.5,0.5,1,0.824,Sandstone
0.5,44.5,0.5,2,1.036,Shale
2.5,44.5,0.5,2,0.499,Shale
35.5,44.5,0.5,2,2.565,Shale
43.5,44.5,0.5,1,0.172,Sandstone
44.5,44.5,0.5,1,0.53,Sandstone
58.5,44.5,0.5,1,0.767,Sandstone
62.5,44.5,0.5,1,0.412,Sandstone
84.5,44.5,0.5,2,1.356,Shale
87.5,44.5,0.5,1,0.619,Sandstone
99.5,44.5,0.5,1,0.761,Sandstone
32.5,45.5,0.5,2,1.461,Shale
46.5,45.5,0.5,1,0.657,Sandstone
74.5,45.5,0.5,1,0.352,Sandstone
22.5,46.5,0.5,2,5.22,Shale
44.5,46.5,0.5,1,0.218,Sandstone
47.5,46.5,0.5,1,0.374,Sandstone
58.5,46.5,0.5,1,0.464,Sandstone
85.5,46.5,0.5,1,0.855,Sandstone
90.5,46.5,0.5,1,0.194,Sandstone
99.5,46.5,0.5,1,0.505,Sandstone
33.5,47.5,0.5,2,0.94,Shale
58.5,47.5,0.5,1,0.242,Sandstone
64.5,47.5,0.5,1,0.781,Sandstone
81.5,47.5,0.5,1,0.562,Sandstone
28.5,48.5,0.5,2,3.762,Shale
31.5,48.5,0.5,2,1.721,Shale
39.5,48.5,0.5,1,0.7,Sandstone
50.5,48.5,0.5,1,0.653,Sandstone
55.5,48.5,0.5,1,0.002,Sandstone
61.5,48.5,0.5,1,0.225,Sandstone
87.5,48.5,0.5,1,0.681,Sandstone
0.5,49.5,0.5,2,0.287,Shale
32.5,49.5,0.5,2,1.237,Shale
35.5,49.5,0.5,2,3.324,Shale
93.5,49.5,0.5,1,0.146,Sandstone
46.5,50.5,0.5,1,0.721,Sandstone
50.5,50.5,0.5,1,0.657,Sandstone
59.5,50.5,0.5,1,0.513,Sandstone
70.5,50.5,0.5,1,0.066,Sandstone
71.5,50.5,0.5,1,0.26,Sandstone
82.5,50.5,0.5,1,0.928,Sandstone
88.5,50.5,0.5,1,0.635,Sandstone
93.5,50.5,0.5,1,0.163,Sandstone
12.5,51.5,0.5,3,2.673,Breccia
16.5,51.5,0.5,2,2.468,Shale
25.5,51.5,0.5,2,3.945,Shale
26.5,51.5,0.5,2,2.009,Shale
39.5,51.5,0.5,2,1.13,Shale
41.5,51.5,0.5,2,0.573,Shale
47.5,51.5,0.5,1,0.768,Sandstone
76.5,51.5,0.5,1,0.829,Sandstone
79.5,51.5,0.5,1,0.83,Sandstone
97.5,51.5,0.5,1,0.403,Sandstone
34.5,52.5,0.5,2,3.033,Shale
59.5,52.5,0.5,1,0.733,Sandstone
64.5,52.5,0.5,1,0.805,Sandstone
70.5,52.5,0.5,1,0.632,Sandstone
79.5,52.5,0.5,1,0.805,Sandstone
97.5,52.5,0.5,1,0.247,Sandstone
98.5,52.5,0.5,1,0.14,Sandstone
0.5,53.5,0.5,2,0.192,Shale
15.5,53.5,0.5,2,0.986,Shale
17.5,53.5,0.5,2,2.053,Shale
19.5,53.5,0.5,2,3.582,Shale
20.5,53.5,0.5,2,1.173,Shale
24.5,53.5,0.5,2,2.104,Shale
51.5,53.5,0.5,1,0.803,Sandstone
67.5,53.5,0.5,1,0.875,Sandstone
96.5,53.5,0.5,1,0.347,Sandstone
97.5,53.5,0.5,1,0.323,Sandstone
2.5,54.5,0.5,3,41.198,Breccia
4.5,54.5,0.5,1,0.978,Sandstone
8.5,54.5,0.5,3,9.016,Breccia
9.5,54.5,0.5,3,3.316,Breccia
12.5,54.5,0.5,3,2.072,Breccia
21.5,54.5,0.5,2,0.703,Shale
24.5,54.5,0.5,2,2.63,Shale
33.5,54.5,0.5,2,4.005,Shale
42.5,54.5,0.5,1,0.665,Sandstone
45.5,54.5,0.5,1,0.597,Sandstone
53.5,54.5,0.5,1,0.715,Sandstone
72.5,54.5,0.5,1,0.703,Sandstone
78.5,54.5,0.5,1,0.527,Sandstone
90.5,54.5,0.5,1,0.499,Sandstone
1.5,55.5,0.5,3,8.294,Breccia
4.5,55.5,0.5,1,0.977,Sandstone
21.5,55.5,0.5,2,1.431,Shale
28.5,55.5,0.5,2,1.231,Shale
40.5,55.5,0.5,1,0.208,Sandstone
45.5,55.5,0.5,1,0.702,Sandstone
73.5,55.5,0.5,1,0.733,Sandstone
76.5,55.5,0.5,1,0.194,Sandstone
84.5,55.5,0.5,1,0.817,Sandstone
2.5,56.5,0.5,3,12.455,Breccia
20.5,56.5,0.5,2,3.52,Shale
49.5,56.5,0.5,1,0.989,Sandstone
61.5,56.5,0.5,1,0.278,Sandstone
63.5,56.5,0.5,1,0.352,Sandstone
76.5,56.5,0.5,1,0.117,Sandstone
86.5,56.5,0.5,1,0.762,Sandstone
99.5,56.5,0.5,1,0.789,Sandstone
1.5,57.5,0.5,3,16.829,Breccia
5.5,57.5,0.5,1,0.971,Sandstone
13.5,57.5,0.5,3,3.852,Breccia
44.5,57.5,0.5,2,2.511,Shale
64.5,57.5,0.5,1,0.358,Sandstone
67.5,57.5,0.5,1,0.369,Sandstone
69.5,57.5,0.5,1,0.38,Sandstone
75.5,57.5,0.5,1,0.56,Sandstone
77.5,57.5,0.5,1,0.34,Sandstone
80.5,57.5,0.5,1,0.329,Sandstone
82.5,57.5,0.5,1,0.818,Sandstone
91.5,57.5,0.5,1,0.859,Sandstone
6.5,58.5,0.5,1,0.821,Sandstone
32.5,58.5,0.5,2,6.159,Shale
40.5,58.5,0.5,2,2.633,Shale
56.5,58.5,0.5,1,0.408,Sandstone
57.5,58.5,0.5,1,0.475,Sandstone
68.5,58.5,0.5,1,0.315,Sandstone
79.5,58.5,0.5,1,0.342,Sandstone
87.5,58.5,0.5,1,0.48,Sandstone
98.5,58.5,0.5,1,0.804,Sandstone
0.5,59.5,0.5,3,68.88,Breccia
5.5,59.5,0.5,1,0.742,Sandstone
17.5,59.5,0.5,3,2.94,Breccia
45.5,59.5,0.5,2,1.893,Shale
83.5,59.5,0.5,1,0.265,Sandstone
88.5,59.5,0.5,1,0.37,Sandstone
23.5,60.5,0.5,2,2.728,Shale
96.5,60.5,0.5,1,0.577,Sandstone
17.5,61.5,0.5,3,1.433,Breccia
44.5,61.5,0.5,2,0.756,Shale
45.5,61.5,0.5,2,1.076,Shale
47.5,61.5,0.5,1,0.834,Sandstone
49.5,61.5,0.5,1,0.973,Sandstone
73.5,61.5,0.5,1,0.958,Sandstone
89.5,61.5,0.5,1,0.577,Sandstone
7.5,62.5,0.5,3,30.882,Breccia
22.5,62.5,0.5,3,0.866,Breccia
24.5,62.5,0.5,3,1.52,Breccia
39.5,62.5,0.5,2,8.722,Shale
41.5,62.5,0.5,2,1.212,Shale
49.5,62.5,0.5,1,0.87,Sandstone
53.5,62.5,0.5,1,0.878,Sandstone
79.5,62.5,0.5,1,0.805,Sandstone
5.5,63.5,0.5,1,0.999,Sandstone
19.5,63.5,0.5,3,1.991,Breccia
33.5,63.5,0.5,2,13.553,Shale
38.5,63.5,0.5,2,2.37,Shale
40.5,63.5,0.5,2,1.062,Shale
48.5,63.5,0.5,1,0.784,Sandstone
58.5,63.5,0.5,1,0.503,Sandstone
79.5,63.5,0.5,1,0.362,Sandstone
84.5,63.5,0.5,1,0.403,Sandstone
14.5,64.5,0.5,3,29.296,Breccia
29.5,64.5,0.5,2,6.816,Shale
53.5,64.5,0.5,1,0.692,Sandstone
55.5,64.5,0.5,1,0.717,Sandstone
62.5,64.5,0.5,1,0.563,Sandstone
83.5,64.5,0.5,1,0.368,Sandstone
10.5,65.5,0.5,1,0.994,Sandstone
24.5,65.5,0.5,3,0.599,Breccia
38.5,65.5,0.5,2,1.483,Shale
41.5,65.5,0.5,2,9.831,Shale
42.5,65.5,0.5,2,2.475,Shale
61.5,65.5,0.5,1,0.815,Sandstone
86.5,65.5,0.5,1,0.754,Sandstone
96.5,65.5,0.5,1,0.716,Sandstone
98.5,65.5,0.5,1,0.688,Sandstone
3.5,66.5,0.5,3,26.102,Breccia
5.5,66.5,0.5,3,65.337,Breccia
7.5,66.5,0.5,3,23.904,Breccia
11.5,66.5,0.5,1,0.913,Sandstone
29.5,66.5,0.5,2,5.923,Shale
30.5,66.5,0.5,2,6.477,Shale
37.5,66.5,0.5,2,8.686,Shale
85.5,66.5,0.5,1,0.479,Sandstone
88.5,66.5,0.5,1,0.787,Sandstone
16.5,67.5,0.5,3,3.495,Breccia
34.5,67.5,0.5,2,2.393,Shale
48.5,67.5,0.5,2,0.932,Shale
52.5,67.5,0.5,1,0.908,Sandstone
85.5,67.5,0.5,1,0.545,Sandstone
90.5,67.5,0.5,1,0.908,Sandstone
15.5,68.5,0.5,3,2.567,Breccia
20.5,68.5,0.5,3,6.209,Breccia
22.5,68.5,0.5,3,1.308,Breccia
29.5,68.5,0.5,2,1.955,Shale
30.5,68.5,0.5,2,1.478,Shale
32.5,68.5,0.5,2,3.092,Shale
34.5,68.5,0.5,2,2.453,Shale
38.5,68.5,0.5,2,3.15,Shale
93.5,68.5,0.5,1,0.715,Sandstone
94.5,68.5,0.5,1,0.862,Sandstone
0.5,69.5,0.5,3,24.763,Breccia
2.5,69.5,0.5,3,98.517,Breccia
16.5,69.5,0.5,3,3.403,Breccia
20.5,69.5,0.5,3,7.968,Breccia
56.5,69.5,0.5,1,0.937,Sandstone
59.5,69.5,0.5,1,0.807,Sandstone
64.5,69.5,0.5,1,0.816,Sandstone
65.5,69.5,0.5,1,0.713,Sandstone
77.5,69.5,0.5,1,0.586,Sandstone
79.5,69.5,0.5,1,0.671,Sandstone
87.5,69.5,0.5,1,0.95,Sandstone
90.5,69.5,0.5,1,0.603,Sandstone
92.5,69.5,0.5,1,0.748,Sandstone
93.5,69.5,0.5,1,0.746,Sandstone
97.5,69.5,0.5,1,0.896,Sandstone
29.5,70.5,0.5,2,1.919,Shale
35.5,70.5,0.5,2,1.715,Shale
41.5,70.5,0.5,2,2.161,Shale
72.5,70.5,0.5,1,0.713,Sandstone
81.5,70.5,0.5,1,0.775,Sandstone
85.5,70.5,0.5,1,0.945,Sandstone
88.5,70.5,0.5,1,0.82,Sandstone
92.5,70.5,0.5,1,0.838,Sandstone
1.5,71.5,0.5,3,98.517,Breccia
9.5,71.5,0.5,1,0.971,Sandstone
18.5,71.5,0.5,3,28.011,Breccia
22.5,71.5,0.5,1,0.561,Sandstone
30.5,71.5,0.5,3,4.817,Breccia
33.5,71.5,0.5,2,0.715,Shale
35.5,71.5,0.5,2,1.09,Shale
44.5,71.5,0.5,2,3.286,Shale
45.5,71.5,0.5,2,3.818,Shale
48.5,71.5,0.5,2,3.798,Shale
50.5,71.5,0.5,2,4.712,Shale
54.5,71.5,0.5,1,0.862,Sandstone
81.5,71.5,0.5,1,0.84,Sandstone
19.5,72.5,0.5,3,46.4,Breccia
37.5,72.5,0.5,2,1.943,Shale
82.5,72.5,0.5,1,0.661,Sandstone
91.5,72.5,0.5,1,0.957,Sandstone
96.5,72.5,0.5,1,0.193,Sandstone
5.5,73.5,0.5,3,28.614,Breccia
23.5,73.5,0.5,3,2.822,Breccia
43.5,73.5,0.5,2,1.554,Shale
45.5,73.5,0.5,2,1.621,Shale
46.5,73.5,0.5,2,2.169,Shale
77.5,73.5,0.5,1,0.942,Sandstone
82.5,73.5,0.5,1,0.947,Sandstone
85.5,73.5,0.5,1,0.607,Sandstone
94.5,73.5,0.5,1,0.899,Sandstone
95.5,73.5,0.5,1,0.779,Sandstone
2.5,74.5,0.5,3,77.819,Breccia
3.5,74.5,0.5,3,64.099,Breccia
10.5,74.5,0.5,1,0.956,Sandstone
20.5,74.5,0.5,3,11.8,Breccia
49.5,74.5,0.5,1,0.919,Sandstone
54.5,74.5,0.5,1,0.926,Sandstone
56.5,74.5,0.5,1,0.972,Sandstone
58.5,74.5,0.5,1,0.933,Sandstone
71.5,74.5,0.5,1,0.326,Sandstone
83.5,74.5,0.5,1,0.987,Sandstone
41.5,75.5,0.5,2,1.028,Shale
56.5,75.5,0.5,1,0.857,Sandstone
59.5,75.5,0.5,1,0.977,Sandstone
